station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day
13,2012-01-01,38.0,18.0,28.0,,12.0,21.0,37.0,0.0,,,MD,,0.0,24.6,30.59,2.5,16.0,6.1,2012,1,1
13,2012-01-02,50.0,16.0,33.0,,17.0,28.0,32.0,0.0,,,MD,,0.0,24.55,30.54,6.1,16.0,6.8,2012,1,2
13,2012-01-03,55.0,31.0,43.0,,16.0,33.0,22.0,0.0,,,MD,,0.0,24.4,30.23,2.9,21.0,6.3,2012,1,3
13,2012-01-04,58.0,27.0,42.5,,16.0,32.0,22.0,0.0,,,MD,,0.0,24.49,30.36,5.5,19.0,6.1,2012,1,4
13,2012-01-05,66.0,35.0,50.5,,21.0,37.0,14.0,0.0,,,MD,,0.0,24.26,30.04,4.2,21.0,5.0,2012,1,5
13,2012-01-06,45.0,25.0,35.0,,22.0,31.0,30.0,0.0,,,MD,,0.0,24.21,30.01,3.6,12.0,6.2,2012,1,6
13,2012-01-07,39.0,22.0,30.5,,23.0,27.0,34.0,0.0,,,SN FG+ FZFG BR,,0.16,24.19,30.07,4.6,33.0,5.9,2012,1,7
13,2012-01-08,33.0,11.0,22.0,,15.0,20.0,43.0,0.0,,,MD,,0.0,24.32,30.29,3.8,18.0,4.6,2012,1,8
13,2012-01-09,47.0,17.0,32.0,,19.0,27.0,33.0,0.0,,,MD,,0.0,24.37,30.31,3.4,18.0,3.9,2012,1,9
13,2012-01-10,56.0,28.0,42.0,,24.0,33.0,23.0,0.0,,,MD,,0.0,24.13,29.96,4.1,16.0,4.5,2012,1,10
13,2012-01-11,41.0,3.0,22.0,,12.0,16.0,43.0,-43.0,,,SN FZFG BR,,0.01,24.24,30.15,5.3,4.0,8.8,2012,1,11
13,2012-01-12,40.0,-1.0,19.5,,3.0,18.0,45.0,0.0,,,MD,,0.0,24.24,30.23,3.2,25.0,6.5,2012,1,12
13,2012-01-13,44.0,19.0,31.5,,7.0,25.0,33.0,0.0,,,MD,,0.0,24.23,30.11,7.4,26.0,8.6,2012,1,13
13,2012-01-14,53.0,20.0,36.5,,12.0,30.0,28.0,0.0,,,MD,,0.0,24.24,30.08,8.0,20.0,9.4,2012,1,14
13,2012-01-15,54.0,33.0,43.5,,12.0,33.0,21.0,0.0,,,MD,,0.0,24.01,29.75,11.1,22.0,12.1,2012,1,15
13,2012-01-16,41.0,16.0,28.5,,17.0,24.0,36.0,0.0,,,SN BR,,0.02,23.98,29.76,1.5,32.0,7.1,2012,1,16
13,2012-01-17,27.0,5.0,16.0,,7.0,14.0,49.0,0.0,,,BR,,0.005,24.23,30.22,7.2,13.0,8.0,2012,1,17
13,2012-01-18,45.0,14.0,29.5,,14.0,28.0,35.5,-35.5,,,MD,,0.0,24.05,29.9,4.7,19.0,10.0,2012,1,18
13,2012-01-19,60.0,33.0,46.5,,25.0,38.0,18.0,0.0,,,MD,,0.0,23.95,29.66,2.2,13.0,7.5,2012,1,19
13,2012-01-20,53.0,34.0,43.5,,23.0,35.0,21.0,0.0,,,MD,,0.0,24.06,29.76,2.3,29.0,9.1,2012,1,20
13,2012-01-21,64.0,34.0,49.0,,23.0,37.0,16.0,0.0,,,SN,,0.005,23.75,29.44,13.9,20.0,16.5,2012,1,21
13,2012-01-22,45.0,26.0,35.5,,12.0,29.0,29.0,0.0,,,MD,,0.005,23.93,29.6,10.5,31.0,14.6,2012,1,22
13,2012-01-23,48.0,25.0,36.5,,14.0,28.0,28.0,0.0,,,MD,,0.0,24.05,29.85,6.8,15.0,8.2,2012,1,23
13,2012-01-24,35.0,22.0,28.5,,23.0,28.0,36.0,0.0,,,SN BR,,0.005,24.24,30.09,2.5,33.0,4.6,2012,1,24
13,2012-01-25,61.0,21.0,41.0,,16.0,32.0,24.0,0.0,,,MD,,0.0,24.24,30.08,8.2,28.0,12.5,2012,1,25
13,2012-01-26,54.0,32.0,43.0,,17.0,33.0,22.0,0.0,,,MD,,0.0,24.16,29.91,1.8,23.0,8.4,2012,1,26
13,2012-01-27,43.0,18.0,30.5,,17.0,25.0,34.0,0.0,,,SN BR,,0.005,24.29,30.14,3.3,36.0,8.6,2012,1,27
13,2012-01-28,45.0,15.0,30.0,,5.0,22.0,35.0,0.0,,,MD,,0.0,24.36,30.32,2.6,19.0,5.7,2012,1,28
