station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day
3,2012-01-01,55.0,34.0,44.5,9.0,24.0,36.0,20.0,0.0,735.0,1720.0,MD,0.0,0.0,29.77,30.47,9.9,31.0,10.0,2012,1,1
3,2012-01-02,45.0,24.0,34.5,-1.0,11.0,28.0,30.0,0.0,735.0,1721.0,MD,0.0,0.0,29.89,30.63,7.7,32.0,8.2,2012,1,2
3,2012-01-03,55.0,21.0,38.0,2.0,19.0,32.0,27.0,0.0,735.0,1721.0,MD,0.0,0.0,29.55,30.34,11.6,17.0,11.8,2012,1,3
3,2012-01-04,63.0,31.0,47.0,11.0,26.0,37.0,18.0,0.0,735.0,1722.0,MD,0.0,0.0,29.53,30.27,2.5,31.0,4.9,2012,1,4
3,2012-01-05,68.0,31.0,49.5,14.0,28.0,41.0,15.0,0.0,735.0,1723.0,MD,0.0,0.0,29.35,30.11,7.3,19.0,7.6,2012,1,5
3,2012-01-06,69.0,40.0,54.5,19.0,35.0,44.0,10.0,0.0,735.0,1724.0,MD,0.0,0.0,29.16,29.89,6.1,18.0,9.6,2012,1,6
3,2012-01-07,58.0,36.0,47.0,11.0,26.0,39.0,18.0,0.0,735.0,1725.0,MD,0.0,0.0,29.36,30.06,8.2,1.0,8.9,2012,1,7
3,2012-01-08,53.0,33.0,43.0,7.0,28.0,38.0,22.0,0.0,735.0,1726.0,MD,0.0,0.0,29.45,30.16,8.3,36.0,8.4,2012,1,8
3,2012-01-09,54.0,26.0,40.0,4.0,27.0,35.0,25.0,0.0,735.0,1727.0,MD,0.0,0.0,29.46,30.2,6.6,35.0,7.2,2012,1,9
3,2012-01-10,51.0,30.0,40.5,5.0,29.0,37.0,24.0,0.0,735.0,1727.0,MD,0.0,0.0,29.16,29.94,3.0,34.0,4.6,2012,1,10
3,2012-01-11,61.0,29.0,45.0,9.0,30.0,36.0,20.0,0.0,735.0,1728.0,SN BR,0.5,0.02,29.08,29.79,9.5,32.0,12.1,2012,1,11
3,2012-01-12,35.0,21.0,28.0,-8.0,9.0,23.0,37.0,0.0,735.0,1729.0,MD,0.0,0.0,29.39,30.11,14.5,30.0,15.1,2012,1,12
3,2012-01-13,48.0,20.0,34.0,-2.0,10.0,26.0,31.0,0.0,734.0,1730.0,MD,0.0,0.0,29.41,30.16,3.5,23.0,5.6,2012,1,13
3,2012-01-14,55.0,31.0,43.0,7.0,21.0,34.0,22.0,0.0,734.0,1731.0,MD,0.0,0.0,29.47,30.2,5.1,29.0,6.7,2012,1,14
3,2012-01-15,64.0,32.0,48.0,12.0,28.0,40.0,17.0,0.0,734.0,1732.0,MD,0.0,0.0,29.29,30.06,16.3,17.0,16.5,2012,1,15
3,2012-01-16,72.0,56.0,64.0,28.0,51.0,56.0,1.0,0.0,734.0,1733.0,MD,0.0,0.0,29.03,29.77,19.7,19.0,20.0,2012,1,16
3,2012-01-17,66.0,22.0,44.0,8.0,20.0,29.0,21.0,0.0,733.0,1734.0,MD,0.0,0.0,29.56,30.24,11.6,33.0,13.7,2012,1,17
3,2012-01-18,45.0,17.0,31.0,-5.0,18.0,29.0,34.0,0.0,733.0,1735.0,MD,0.0,0.0,29.4,30.16,5.9,18.0,6.5,2012,1,18
3,2012-01-19,54.0,28.0,41.0,5.0,26.0,34.0,24.0,0.0,732.0,1736.0,MD,0.0,0.0,29.16,29.93,3.8,1.0,6.8,2012,1,19
3,2012-01-20,41.0,23.0,32.0,-4.0,26.0,30.0,33.0,0.0,732.0,1737.0,FZDZ BR,0.0,0.005,29.13,29.85,8.8,34.0,9.2,2012,1,20
3,2012-01-21,43.0,18.0,30.5,-5.0,19.0,26.0,34.0,0.0,732.0,1738.0,MD,0.0,0.0,29.26,30.04,3.3,3.0,9.2,2012,1,21
3,2012-01-22,71.0,42.0,56.5,21.0,37.0,45.0,8.0,0.0,731.0,1739.0,BR HZ DU,0.0,0.0,28.89,29.6,11.0,20.0,18.5,2012,1,22
3,2012-01-23,59.0,32.0,45.5,9.0,24.0,37.0,19.0,0.0,731.0,1740.0,MD,0.0,0.0,29.29,30.0,6.2,27.0,7.3,2012,1,23
3,2012-01-24,65.0,30.0,47.5,11.0,26.0,40.0,17.0,0.0,730.0,1741.0,RA,0.0,0.07,29.36,30.07,8.0,14.0,8.3,2012,1,24
3,2012-01-25,49.0,41.0,45.0,8.0,41.0,43.0,20.0,0.0,729.0,1742.0,RA DZ BR,0.0,0.52,29.25,30.0,7.0,2.0,7.8,2012,1,25
3,2012-01-26,62.0,39.0,50.5,14.0,31.0,41.0,14.0,0.0,729.0,1744.0,MD,0.0,0.0,29.2,29.92,9.5,34.0,9.9,2012,1,26
3,2012-01-27,64.0,30.0,47.0,10.0,30.0,40.0,18.0,0.0,728.0,1745.0,MD,0.0,0.0,29.26,29.96,1.8,21.0,11.1,2012,1,27
3,2012-01-28,51.0,27.0,39.0,2.0,19.0,32.0,26.0,0.0,727.0,1746.0,MD,0.0,0.0,29.67,30.39,4.2,28.0,6.8,2012,1,28
3,2012-01-29,61.0,33.0,47.0,9.0,24.0,37.0,18.0,0.0,727.0,1747.0,MD,0.0,0.0,29.53,30.28,8.0,20.0,8.5,2012,1,29
3,2012-01-30,67.0,41.0,54.0,16.0,37.0,46.0,11.0,0.0,726.0,1748.0,MD,0.0,0.0,29.3,30.05,16.3,18.0,16.4,2012,1,30
